,Person,Condition,Drug,Observation,Measurement,Procedure,Device,Visit,Negation,Qualifier,Temporal,Value,Multiplier,Reference_point,Mood,Post-eligibility,Pregnancy_considerations,Informed_consent
0,persistent,seriously ill,hormonal methods,anticoagulation|life expectancy,eular/acr criteria american college of rheumatology (acr) classification,diagnostic magnetic resonance imaging (mri),interventional clinical trials after,anticipated difficult,cannot guarantee,suitable for,within 7 days before the first use of the study drug,> 220 msec|qrs complex,greater than 24 hours prior to enrollment,day 1 of cycle 1)|for,interested in,inability to consent,is a us veteran|meets,patients who sign the informed consent form and are willing to complete the study according to the plan;|aged from 18 to 80 years old;|ecog equals 0 or 1;|not receiving lung cancer surgery before;|confirmed to be invasive
1,2.|pregnancy,recurrent breast cancer,confirmatory antibody testing,surgery|life expectancy,months.|acceptable organ function,pharmacological treatment,implanted medical device,wageningen university & research,other treatment.|patients,resective,within 30 days after vaccination with the trial vaccines;|a serious,> 1.5 mg/dl)|chronic,multiple,age|history of,likely to be needed,inability to consent to participation in research.,children with,the following exclusion criteria are in addition to the exclusion criteria specified in the master protocol (
2,institutionalized,cerebral palsy (,anakinra,unable to communicate with the study investigator or research,pain visual analog scale (vas),supplemental observations,metallic implants located,nursing home,previous,insulin naïve patients|bmi,for 4 months after stopping study treatment,above 40°c,>1 year,,unwillingness to comply with the study,written informed consent.|male,"additionally, a subject who did not speak english may not be able to easily communicate safety concerns",provided written informed consent;|age
3,outside,allergy)|chronic kidney disease,immunomodulating medications,unable to feel vibrations from the device on their wrist,total bilirubin≤1.5×normal upper limit (uln),radiographic imaging obtained,implanted devices relying,outpatient stage of rehabilitiation|followed,intention of,rome iv diagnostic criteria,in the 3 weeks before the first study day|presence,=< 3.0 x uln|eligibility criteria,more than one month or more,,planning to enroll,willingness to provide,absolute contraindications to,"refusal to sign informed consent|paediatric population|asa physical status iv|emergency tracheal intubation|independent predictors of difficult videolaryngoscopy (neck extension < 80°, macroglossia, interincisor distance < 3 cm, anatomical alterations of the neck, cardiac surgery, ear-nose-throat surgery)"
4,pediatric,criteria may apply,ro7247669,unable to complete follow,screening);|body mass index (bmi),revascularization procedure,contact lenses,screening).||,not available,thalamic,at the time of screening||☞,120-160/min,greater than 10 mg daily,,prepared,r patients:||english speaking adult,a female,willingness to provide
5,patients|male,mixed sclc nsclc,atropine drugs,native english speakers,less.|human immunodeficiency virus,physiological substitutive doses,urethra,psychiatric hospital,no witnessed,non-hematologic,for at least 5 years from treatment end will,> 30 ml/min/1.73m2.||,≥40|no,,require,able to provide written informed consent prior to any study mandated procedures.||able to lie comfortably on back for up to 90 minutes,aml)|women who are,preventing patient's inclusion according to the investigator's opinion
6,pcr);|complete,archival tissue,relenza®,participated in other drug,virtual coaching sessions,irinotecan.||chemotherapy,coronary artery bypass graft surgery,study institute,able to understand and give his consent|patient affiliated to the health insurance||,pharmacological dose,within 5 years prior to breast cancer,≥11 g/dl,≥2 times weekly,,likely to shop,inability to provide informed consent (,the presence,refusal to participate in the study;|portal hypertension resulting from other causes than liver cirrhosis;|more than 42 days after index variceal bleeding;|bleeding from
7,teenagers,structural brain abnormality,vulvar,unable to complete remaining study assessments,cfs score,enrollment|participation,mechanical circulatory,university of wisconsin hospital,a:||cohort 2,american|unable to read,before first-line induction chemotherapy,above 35 kg/m2|polysomnographic,fewer apparent,,can be measured by,patient has given,"additionally, no abnormalities of clinical significance in vital sign examination",willing to sign informed consent form;|chinese healthy
8,meeting the,hereditary optic neuropathy,3rd grade atrioventricular block,enrolled in other clinical studies;|mixed lung cancer,hbvdna,acid suppressive therapy,implantable hormonal contraceptives|hormonal,emergency cardiac,nment-,inhaled reliever,within 6 months prior to screening|history,<50%|subject must,≥3 mm,,at risk for,written informed consent,the children,provision of signed and dated informed consent form (icf)|healthy adult
9,mutation;|patients,hypertension|bell's palsy,injectable cyclophosphamide,genetic test;|written informed consent||,hepatitis c virus antibody,bariatric bypass surgery,implantable loop,criteria|life expectancy,not to,potentially unstable,newly obtained,less than or equal to 75 years old|pathological diagnosis,≥ 4.||,,"weeks,|willing to discontinue","written informed consent to participate in the study;|age 18 and over;|clinical diagnosis of one of chronic respiratory diseases (copd,",is not able to commit to the 6 weeks of intervention and the one-,the parents will be excluded if they cannot understand and sign a consent form and are not willing to follow the the clinical trial procedures
10,gender,brushing,intravitreal,precludes,ast)(serum glutamic oxaloacetic transaminase,liver cell-specific contrast agent disodium gadolinium cerate,know hematological disorders|difficult,"community mental health center regularly,|being able to read",does not currently,femoral condyle graded,at least 2 consecutive standard of care ct scans,<50 ml/min.||for,2 months or laxativ 3 weeks before,,planning to become,able to consent and agree to participate in the study.|3,fallot patient,the patient to be cared for has
11,persons,peripheral neuropathy|hepatic,aciclovir,render the subject s participation unsafe,pro,pulmonary hypoplasia,interpret study results.|active infection,emergency department nurses,assault-,glutamic oxaloacetic aminotransferase,within 5 years prior to initial administration of xzb-0004,<37.5°c,≥ mg,,incapable of,"subject should understand, sign, and date the written icf prior to screening.|male","additionally, it is not known","refusal of the patients.|associated entropion., 3) severe ocular surface disease.|previous eyelid surgery.|associated lid laxity.|lack of adequate follow-up"
12,months|mild,or|inflammatory bowel disease,neck operation,cockcroft-gault (cg) equation||,cockroft-gault,intravitreal,aortic valve replacement,outpatient status,no visible,mri|pregnancy|acute,within 6 months of the study treatment,"2, 3",at least five,,prescriptions for,≤8 (cut off 10.5)|patient with mental fatigue: mental fatigue score,monophthalmic patient. 10,the diagnosis and classification of patients with fgids were in accordance with the
13,texas children's,hyperthyroid diseases,heart assist device,unable to take fuquinitinib,creatinine cystatin c-based chronic kidney disease in children,choose peritoneal dialysis,mental illness.|confused,neonatal intensive,except for,fuchs spot,within 2 weeks before first dose.|body mass index,<3.0 g/dl.||patients,maximum tolerated medical therapy,,scheduled for a,patient refuse to participate.|the anatomy is altered due to severe,women of childbearing potential not,patient older than 18 years.|definitive diagnosis
14,pregnancy;|those,malignant tumor|hiv,5-fluorouracil,etcetera,gina,edentulous maxilla,contraceptive pills,pediatric cardiac icu (pcicu),patients|patients,low ovarian function,for 30 days before screening,≥ 100 × 109/l;||d.,first or second line,,managed per local guidelines,ability to comprehend and willingness to sign a written icf for the study|male,the forms of,refusal to participate in the study|history of neurologic deficits or neuropathy affecting the brachial plexus|infection at the site of the block application|coagulopathy|pre-existing respiratory dysfunction|allergy to local anesthetics|uncooperated patients who cannot reliably answer verbal pain evaluation
15,estimated survival,physically capable of pregnancy,prilocaine,cessation,speech impairment|cognitive impairment|had dengue before|healthcare staff,health maintenance,potentially curative,neonatal intensive care,no other clinically,"criteria:||include known pregestational diabetes,|known",within 5 years prior to screening,"< 50 mmhg,|paco2",edema.|at least 1 sign,,unwillingness to swallow,"untrained|any response of ""yes"" on the par-q+|physical limitations",is between 18 and 40 years,|the patient is
16,old|patients,"iv,|chronic gabapentin",cockroft-gault,situations that would limit compliance with study requirements.|new york heart association class iii of iv congestive heart,bone marrow aspirate (bma),organic gi disease|suspicion,vascular compromise,university (ohsu),must pass,pcs-typical,within 30 days prior to study procedure,ranges from 3 to 5,2 years to 4 years,,imminent risk of,"ability and willingness to participate in the study, give written informed consent, and comply with the study specific requirements and all protocol procedures|sex:",women who are,the subject himself/herself or one legal guardian/agent of the subject is required to fully understand the study and voluntarily sign a written informed consent.|ages 5 to 35
17,unl)/dl,systemic immunosuppressants,supraclavicular,allogeneic,"criteria of sepsis-3 (2016,",substance abuse|a medical condition,implanted electronic devices|patients,university of michigan|must,plan|active,mount sinai west.||,between the time of screening,38%,once every 14,,plans to start these,"lack of compliance with any inclusion criteria.|anything that, in the opinion of the investigator, would place the subject at increased risk or preclude the subject's full compliance with or completion of the registry procedures",participants who discontinued the tv48574-imm-20036 study,subject must provide written informed consent prior to any clinical investigation-related procedure.|subject
18,weight,headache||,drug free,situations that would limit compliance with study requirements||other medical conditions,creatinine ≤the upper limit of normal;|patients,preoperative ekg,intra articular injection)|systemic steroids,u.s.,breech position|scheduled ecv||,danish digital postbox,within 3 months prior to dosing.|subjects,scan);|5-18 years,≥ 4,,likely to be,written informed consent to participate in the study|age,includes patients,patient of childbearing potential must have a negative serum pregnancy test
19,adlult,liver conditions unsuitable,steatogenic medication,remain on this background therapy,t)|total bilirubin,immunosuppressive therapy.|known,cochlear-implant,west haven grade >,no dose changes,self-reporting,for less than 1 year,> 2x upper limit,women)|at least one,,higher;|patient with,"inability to understand study procedures and provide informed consent, such as those with gross cognitive impairment (",for women,the subject will be excluded if he/she has one or more of the following criteria:||children with a history of
20,ytologically,non-epileptic psychogenic seizure,doctor,sexual activity to decrease the risk for inclusion of a woman,abdulhamid han hospital physical medicine,oral mucositis|ulcerative oral lesions|hypersensitivity,implanted heart pacemaker,nursing undergraduate,must measure ≤24 mm,period.|tb,less than 6,< 30 ml per minute per 1.73 m2 of body surface,more than 24 units,,"schizophrenia,|no access",willingness and ability to provide signed informed consent prior to any trial activity.|women,female participants,the inclusion criteria of the study were determined as being an
21,outpatients|age,end-stage organ failures,hormonal contraception|irregular periods,sleep aids|diagnosed sleep disorder|history,platelet < lln,small therapeutic window|the patient does not take any drug or product,toric contact lenses,interventional clinical research treatment,pump,g/24 hours|medically,within the 2 weeks prior to screening|active tuberculosis,less than 6,maximum dose,,suspicion of,capacity to provide informed consent|participants must,positive;|pregnant or lactating,adult patient or representative of the adult patient who has read and understood the information letter and signed the consent form. 7.
22,complications|women,infectious diagnosis|admission,type,psychiatric history,hcv-rna level,standard stup treatment,aortic valve repair/replacement,"university hospital ""fondazione policlinico universitario agostino gemelli (fpg)",assessment.|agreeable to,site of surgery|periodontally healthy,within 12 weeks of screening.|a participant,less than 24 hours|another family member,long term health,,can accept,patient inclusion criteria:||patients must,young adults,refusal to participate in the study|body mass index < 18.5 kg/m2 or > 35 kg/m2|history of neuromuscular disease.|history of allergy to neuromuscular blockade|scheduled to transfer to the intensive care unit
23,mandatory.|participants,age:||amenorrheic,equivalent|steroids,living in westminster,preserved ventricular function)|no change,gc)/gastroesophageal junction (gej ),gh secretion,evaluated,without,type,within 5 years,≥18 years|patients,2-month period,,likely to become,not able to consent for participation|includable participants not longer living in norway,a:||signed written informed consent prior to any study procedures,the patient must be a member or beneficiary of a health insurance plan|patient admitted to the icu with at least one positive
24,female|age,autoimmune antibodies markedly elevated.|patients,abuse drugs,unable to provide fully informed consent,age|infants,stool routine examination,implanted cardioverter-defibrillator (icd),pediatric endocrinology physician,cannot quit,3-9 months of age||,one month before enrollment;|the risk assessment indicates,18 to 35 kg/m2.|volunteers,≥2 for rhinorrhea,,precludes,hours|lack of informed consent,a male participant of,"the subjects in each experiment will be recruited for a distribution of gender, ethnicity and age"
25,patient.|age,autoimmune hepatitis||liver cirrhosis,alpha-glucosidase inhibitors,unable to fill,endogenous creatinine,sl|positive cytology,peripherally inserted central catheter (picc) line,condition;|pregnancy,cannot,hypertonic,for at least 84 days following investigational product discontinuation even if,< 20ml/min/1.73 square meter,at least 5 years,,attributed to a,"able to understand and speak turkish,|who agreed to participate in the research||","inability to obtain informed consent from the patient, family member or legal representative,|the presence of a focus of non-sanitized surgical",patient of legal age
26,riteria:||families,iv|uncontrolled hypertension,anti coagulant therapy,render the participant ineligible for the study.|immediate family member,lsu health,diseased knee joint|knee osteoarthritis|any musculoskeletal problem,central venous catheter inserted,emergency department visits,discontinued,extracranial,prior 2 years,≥80 g/l,tissue wax blocks,,reproducible,written informed consent is signed by adult participants themselves，and the minor participants is signed by a guardian;|participants should be,women whose,the patient will be according the following criteria:-||males and females
27,pathology|age,motor impairment,litigation regarding,remaining life expectancy,hospital stay,medical condition|history,patch,labial bone plates,with the exception of approved treatments for cognitive impairment (,diagnostic criteria of scd,for at least one year|controlled ad,<5 years ago,repeat,,commitment,willing and capable of complying with follow-up examinations for the duration of the study.||15. signed informed consent or equivalent documentation necessary to comply with applicable privacy laws pertaining to medical treatment.||,the child,cured;|the patient's
28,ib:||male,ischemic optic neuropathy.|no,psychostimulants,risk of harming self or others,instability.|baseline ecog,upper abdominal surgery||,iliac artery,pediatric emergency clinic,not,allogeneic,during the last 12 months|assumption,=< 14 days prior to registration)|serum,once daily alone,,conditions;|pregnant,informed consent signed and dated by the patient and the investigator|age ≥18 years and ≤ 75 years,"inability to obtain an informed consent from the subject, family member",the patient will not be included in the study in the following cases:||inability to read russian
29,procedures|women,and|difficulties,oral corticosteroid therapy,willing to take,serum amylase/lipase,catheter intervention,punctal plug,study,pathologically,mild-severe,within 1 week of neoadjuvant ha chemotherapy,≥100 x 109,≥3mm,,equioxe proximal,able to understand and provide informed consent.|age,have an,parental refusal|minor parents or under judicial protection|newborn who already have been discharded home before inclusion|hospitalisation after the first 48 hours of life|only palliative care
30,is,neuralgia,systemic immunosuppressants,nsclc.|no driver,lutx|age,small enough for the standard-of-care resection,device implant,pediatric endocrinology||,no significant,dsm iv (e.g. psychosis,in the past six months,≤ 12 months.|uncontrolled,25 mg daily,,negative).||,written informed consent is signed by adult participants themselves，and the minor participants is signed by a,a child with,refusal to give informed consent
